timestamp,Wind Direction,Feels Like Temperature,Wind Gust,Screen Relative Humidity,Precipitation Probability,Wind Speed,Temperature,Visibility,Weather Type,Max UV Index
2023-07-07 21:00:00,SSE,17,18,64,7,9,19,VG,2,0
,SSE,17,18,64,7,9,19,VG,2,0
