day_nr,item_name,value,unit,pretty_item_name,pretty_val,day_name,dom,month
0,Max UV Index,1,,Max UV,1 ,Sat,10th,Jun
0,timestamp,2023-06-10 09:00:00,,timestamp ,Sat 10th Jun,Sat,10th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Sat,10th,Jun
0,Feels Like Temperature,17,C, Feels ,17°C,Sat,10th,Jun
0,Wind Gust,18,mph,Wind Gust,18 mph,Sat,10th,Jun
0,Screen Relative Humidity,65,%,Humidity,65 %,Sat,10th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Sat,10th,Jun
0,Wind Speed,11,mph,Wind Speed ,11 mph,Sat,10th,Jun
0,Temperature,19,C, Temp,19°C,Sat,10th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,10th,Jun
0,Weather Type,1,,Weather Type ,1 ,Sat,10th,Jun
0,Max UV Index,5,,Max UV,5 ,Sat,10th,Jun
0,timestamp,2023-06-10 12:00:00,,timestamp ,Sat 10th Jun,Sat,10th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Sat,10th,Jun
0,Feels Like Temperature,23,C, Feels ,23°C,Sat,10th,Jun
0,Wind Gust,25,mph,Wind Gust,25 mph,Sat,10th,Jun
0,Screen Relative Humidity,51,%,Humidity,51 %,Sat,10th,Jun
0,Precipitation Probability,3,%,Rain ,3 %,Sat,10th,Jun
0,Wind Speed,13,mph,Wind Speed ,13 mph,Sat,10th,Jun
0,Temperature,26,C, Temp,26°C,Sat,10th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,10th,Jun
0,Weather Type,1,,Weather Type ,1 ,Sat,10th,Jun
0,Max UV Index,8,,Max UV,8 ,Sat,10th,Jun
0,timestamp,2023-06-10 15:00:00,,timestamp ,Sat 10th Jun,Sat,10th,Jun
0,Wind Direction,ESE,compass, Wind Direction,ESE,Sat,10th,Jun
0,Feels Like Temperature,25,C, Feels ,25°C,Sat,10th,Jun
0,Wind Gust,20,mph,Wind Gust,20 mph,Sat,10th,Jun
0,Screen Relative Humidity,43,%,Humidity,43 %,Sat,10th,Jun
0,Precipitation Probability,9,%,Rain ,9 %,Sat,10th,Jun
0,Wind Speed,11,mph,Wind Speed ,11 mph,Sat,10th,Jun
0,Temperature,27,C, Temp,27°C,Sat,10th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,10th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sat,10th,Jun
0,Max UV Index,4,,Max UV,4 ,Sat,10th,Jun
0,timestamp,2023-06-10 18:00:00,,timestamp ,Sat 10th Jun,Sat,10th,Jun
0,Wind Direction,SE,compass, Wind Direction,SE,Sat,10th,Jun
0,Feels Like Temperature,24,C, Feels ,24°C,Sat,10th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Sat,10th,Jun
0,Screen Relative Humidity,53,%,Humidity,53 %,Sat,10th,Jun
0,Precipitation Probability,13,%,Rain ,13 %,Sat,10th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sat,10th,Jun
0,Temperature,25,C, Temp,25°C,Sat,10th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,10th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sat,10th,Jun
0,Max UV Index,1,,Max UV,1 ,Sat,10th,Jun
0,timestamp,2023-06-10 21:00:00,,timestamp ,Sat 10th Jun,Sat,10th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Sat,10th,Jun
